age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
3,Private,115284,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,2,United-States,>50K
2,Private,224232,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
1,Private,119422,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2,3,United-States,<=50K
4,Self-emp-not-inc,96073,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
4,,145748,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
1,State-gov,240283,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Private,548303,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,2,Mexico,>50K
2,Self-emp-not-inc,334366,Some-college,10,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,0,United-States,<=50K
1,Self-emp-not-inc,23500,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,<=50K
1,Private,179747,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,218649,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,415051,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,3,United-States,>50K
1,Private,100079,HS-grad,9,Never-married,Other-service,,Asian-Pac-Islander,Male,0,0,3,China,<=50K
1,Local-gov,208122,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,1,0,2,United-States,<=50K
0,Private,355124,HS-grad,9,Never-married,Machine-op-inspct,,White,Female,0,3,2,Mexico,<=50K
1,Private,377680,Assoc-voc,11,Never-married,Sales,,White,Male,0,0,3,United-States,<=50K
1,Self-emp-not-inc,147201,Bachelors,13,Separated,Prof-specialty,Own-child,Black,Male,0,0,1,United-States,<=50K
3,Self-emp-not-inc,126500,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
4,Local-gov,205024,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,United-States,<=50K
4,Local-gov,84737,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,1,United-States,>50K
1,Private,194197,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,195808,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
2,Local-gov,118909,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,1,United-States,<=50K
4,Private,24384,HS-grad,9,Widowed,Priv-house-serv,,White,Female,0,0,2,United-States,<=50K
4,Private,89655,HS-grad,9,Widowed,Adm-clerical,,White,Female,0,0,2,United-States,<=50K
1,Self-emp-not-inc,48189,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,1,United-States,<=50K
0,,211968,Some-college,10,Never-married,,Own-child,White,Female,0,0,2,United-States,<=50K
4,Private,153918,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Local-gov,317360,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,>50K
1,Private,191777,12th,8,Never-married,Other-service,Own-child,Black,Female,0,0,0,,<=50K
4,Self-emp-not-inc,54566,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,<=50K
2,Private,328570,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,86065,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Female,0,0,2,Mexico,<=50K
2,Private,102938,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,194698,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
2,Private,270710,9th,5,Divorced,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Private,323773,11th,7,Married-civ-spouse,Priv-house-serv,Other-relative,White,Female,0,0,2,United-States,<=50K
2,Private,77975,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,108140,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,95551,Some-college,10,Divorced,Sales,,White,Female,0,0,2,United-States,<=50K
2,Private,146908,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,2,United-States,>50K
2,State-gov,119272,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,2,United-States,>50K
1,Private,190511,7th-8th,4,Divorced,Handlers-cleaners,,White,Male,1,0,1,United-States,<=50K
1,Private,247025,Some-college,10,Never-married,Handlers-cleaners,,White,Male,0,0,2,United-States,<=50K
2,Private,127314,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
2,Private,82488,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,2,Philippines,<=50K
2,Private,173968,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,295525,Some-college,10,Divorced,Protective-serv,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Self-emp-not-inc,243484,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,>50K
0,Private,416165,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Private,188246,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,2,United-States,>50K
1,Local-gov,168740,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,2,United-States,>50K
2,Private,179048,12th,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,,>50K
1,Private,114483,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
1,Self-emp-not-inc,239511,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,3,United-States,<=50K
4,Private,255978,HS-grad,9,Widowed,Sales,,White,Male,0,0,3,United-States,<=50K
1,Private,153942,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,182217,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,1,United-States,<=50K
1,Private,31714,Some-college,10,Divorced,Adm-clerical,Other-relative,White,Female,2,0,2,United-States,<=50K
1,Private,196342,Doctorate,16,Never-married,Prof-specialty,,White,Male,0,0,2,United-States,>50K
0,Local-gov,176162,Assoc-voc,11,Never-married,Protective-serv,Own-child,White,Male,0,0,1,United-States,<=50K
2,Private,219288,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,154571,Assoc-voc,11,Never-married,Sales,Unmarried,Asian-Pac-Islander,Male,0,0,3,South,<=50K
1,Private,168334,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,1,United-States,<=50K
2,Private,123031,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,3,Trinadad&Tobago,<=50K
1,Private,210926,HS-grad,9,Divorced,Adm-clerical,,White,Female,0,0,2,United-States,>50K
1,Private,186824,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,242619,Bachelors,13,Never-married,Prof-specialty,,White,Male,2,0,2,United-States,<=50K
2,Private,341672,HS-grad,9,Married-spouse-absent,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0,0,3,India,<=50K
0,Private,91141,10th,6,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
4,Self-emp-not-inc,292915,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2,0,United-States,>50K
1,Private,119164,Bachelors,13,Never-married,Other-service,Unmarried,White,Male,0,0,2,,<=50K
0,Private,128477,Masters,14,Never-married,Prof-specialty,,White,Female,0,0,2,United-States,<=50K
4,Private,475775,HS-grad,9,Widowed,Adm-clerical,,White,Female,0,0,1,United-States,<=50K
1,Self-emp-inc,209538,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Local-gov,188741,Masters,14,Never-married,Prof-specialty,,White,Female,0,0,3,United-States,<=50K
1,,427965,HS-grad,9,Separated,,Unmarried,Black,Female,0,0,0,United-States,<=50K
1,Self-emp-inc,196385,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,242586,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,74784,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,<=50K
2,Federal-gov,236648,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,112362,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,48553,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,343403,Assoc-acdm,12,Divorced,Adm-clerical,,White,Female,0,0,0,United-States,<=50K
1,Private,874728,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,2,United-States,<=50K
2,Private,183585,HS-grad,9,Never-married,Prof-specialty,,White,Female,0,0,2,United-States,<=50K
1,Private,323833,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
2,Local-gov,293535,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
4,Private,216073,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
1,Private,106347,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,185437,Assoc-acdm,12,Divorced,Craft-repair,,White,Female,0,0,3,United-States,<=50K
1,Private,86613,1st-4th,2,Never-married,Other-service,,White,Male,0,0,0,El-Salvador,<=50K
1,Self-emp-not-inc,95423,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,309778,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,2,United-States,>50K
